customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50000,34,One year,108.5,3494.39,Fiber optic,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,Yes,2,47.72,0,0,0
CUST50001,44,Month-to-month,55.9,2808.28,No internet service,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,1,0.0,0,0,1
CUST50002,54,Two year,82.89,4415.81,Fiber optic,No,No,Yes,Bank transfer (automatic),Yes,1,No,No,Yes,No,1,1.9,0,0,0
CUST50003,2,One year,52.64,109.44,Fiber optic,No,No,No,Electronic check,No,0,No,No,Yes,Yes,0,28.03,0,0,1
CUST50004,70,Month-to-month,100.89,7144.68,No internet service,No,No,No,Electronic check,No,0,Yes,Yes,Yes,Yes,0,0.0,1,0,0
CUST50005,20,Two year,76.61,1406.2,Fiber optic,Yes,No,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,No,1,12.92,0,0,0
CUST50006,51,One year,93.67,5144.32,Fiber optic,No,No,No,Credit card (automatic),No,0,No,No,Yes,No,0,16.81,0,1,0
CUST50007,17,One year,20.01,265.78,DSL,No,No,Yes,Credit card (automatic),No,0,No,No,Yes,No,3,44.8,3,0,0
CUST50008,70,Month-to-month,25.59,1777.87,DSL,No,No,No,Credit card (automatic),Yes,0,No,No,Yes,No,1,19.51,0,0,0
CUST50009,61,Month-to-month,120.0,6695.51,Fiber optic,No,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,No phone service,1,38.9,0,0,0
CUST50010,11,Month-to-month,120.0,1452.26,DSL,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,No,Yes,No,2,58.72,0,0,1
CUST50011,26,Two year,72.77,1887.65,No internet service,No,No,Yes,Mailed check,No,0,Yes,No,Yes,No phone service,1,0.0,0,0,1
CUST50012,31,One year,103.07,2744.06,DSL,No,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,No,1,21.82,0,0,0
CUST50013,52,Two year,66.81,3666.31,Fiber optic,Yes,No,No,Credit card (automatic),No,0,No,No,Yes,No,1,39.88,0,1,0
CUST50014,66,Month-to-month,46.35,2777.75,DSL,No,No,No,Credit card (automatic),No,0,No,Yes,Yes,Yes,0,35.84,1,0,0
CUST50015,60,Month-to-month,113.33,7212.77,No internet service,No,No,No,Mailed check,No,0,Yes,No,Yes,Yes,1,0.0,1,0,0
CUST50016,22,One year,66.04,1155.59,DSL,No,No,No,Mailed check,No,0,No,No,Yes,No,0,29.78,1,0,0
CUST50017,51,Month-to-month,76.33,3489.25,DSL,No,Yes,No,Electronic check,Yes,0,No,Yes,No,No phone service,0,42.19,0,0,0
CUST50018,65,Two year,105.61,6708.94,DSL,No,Yes,No,Mailed check,Yes,0,No,No,Yes,Yes,3,32.85,0,0,0
CUST50019,9,One year,75.4,542.97,Fiber optic,No,No,No,Credit card (automatic),Yes,1,No,Yes,Yes,No,2,12.15,1,0,1
CUST50020,16,One year,39.08,595.06,No internet service,No,No,No,Bank transfer (automatic),No,0,No,No,Yes,No,1,0.0,0,0,0
CUST50021,54,Month-to-month,46.49,2767.88,No internet service,No,No,Yes,Electronic check,Yes,1,No,Yes,Yes,No,0,0.0,0,0,0
CUST50022,28,Two year,68.92,1496.61,DSL,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,Yes,Yes,Yes,1,22.37,0,0,0
CUST50023,62,Two year,102.19,5859.6,Fiber optic,No,Yes,No,Mailed check,No,0,No,Yes,Yes,No,0,0.0,0,2,0
CUST50024,63,One year,62.67,4214.41,DSL,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,1,52.44,0,0,0
CUST50025,28,Month-to-month,92.51,2065.66,Fiber optic,No,No,No,Mailed check,No,0,No,Yes,No,No phone service,0,37.89,1,2,1
CUST50026,72,Month-to-month,77.88,4320.43,Fiber optic,No,No,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,2,21.03,1,0,0
CUST50027,64,Month-to-month,69.62,4203.93,DSL,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,1,39.42,1,1,0
CUST50028,20,Month-to-month,120.0,2707.96,Fiber optic,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,No phone service,0,48.15,0,0,1
CUST50029,50,One year,61.96,3138.6,No internet service,No,No,Yes,Bank transfer (automatic),No,0,Yes,Yes,Yes,No,0,0.0,0,1,0
CUST50030,32,One year,51.95,1818.53,DSL,No,No,Yes,Mailed check,Yes,1,Yes,Yes,Yes,No,1,21.93,0,0,0
CUST50031,52,Two year,105.15,6154.02,DSL,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,Yes,No,0,10.94,0,0,0
CUST50032,38,Month-to-month,74.79,2714.4,DSL,Yes,No,No,Electronic check,No,0,No,No,Yes,Yes,2,17.98,0,0,1
CUST50033,40,Month-to-month,77.09,2401.57,DSL,No,No,No,Mailed check,Yes,0,Yes,No,Yes,No,2,34.46,0,0,1
CUST50034,42,Month-to-month,75.28,2501.4,DSL,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,Yes,Yes,1,4.76,0,0,0
CUST50035,28,Month-to-month,59.12,1715.33,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,Yes,0,60.49,0,0,0
CUST50036,40,Month-to-month,71.6,2905.39,DSL,No,No,Yes,Credit card (automatic),No,0,No,Yes,Yes,No,1,33.9,0,1,1
CUST50037,24,Month-to-month,99.36,2006.9,Fiber optic,No,No,No,Electronic check,No,0,Yes,No,Yes,No,0,47.38,0,1,1
CUST50038,60,Month-to-month,85.41,5396.43,Fiber optic,Yes,No,Yes,Credit card (automatic),Yes,0,No,Yes,Yes,No,1,11.97,1,1,1
CUST50039,58,One year,86.4,4241.7,No internet service,No,No,No,Electronic check,No,0,Yes,No,Yes,No,2,0.0,2,0,0
CUST50040,24,Month-to-month,72.73,1700.62,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,1,17.52,2,0,1
CUST50041,61,Two year,74.97,4108.89,DSL,No,No,No,Credit card (automatic),Yes,1,No,Yes,Yes,Yes,1,0.0,0,0,0
CUST50042,38,One year,57.31,2245.65,DSL,No,No,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,0,38.91,0,0,1
CUST50043,24,Month-to-month,101.29,2487.65,DSL,Yes,No,Yes,Credit card (automatic),No,0,Yes,Yes,Yes,No,1,50.81,2,0,1
CUST50044,24,Two year,98.36,2548.88,No internet service,No,Yes,No,Credit card (automatic),No,0,Yes,No,Yes,Yes,1,0.0,2,0,0
CUST50045,46,Two year,91.57,3632.96,No internet service,No,No,No,Electronic check,Yes,0,No,No,No,No phone service,1,0.0,0,0,0
CUST50046,57,Month-to-month,82.29,4271.0,DSL,No,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,Yes,1,20.59,0,0,1
CUST50047,53,Month-to-month,79.92,3560.37,DSL,No,Yes,No,Credit card (automatic),No,0,No,No,Yes,Yes,0,44.32,0,0,1
